iter	Passed	Remaining
0	73	73847
1	84	42400
2	91	30349
3	99	24845
4	106	21249
5	114	18906
6	120	17110
7	130	16209
8	137	15194
9	143	14251
10	151	13620
11	157	12975
12	165	12569
13	173	12227
14	180	11873
15	188	11569
16	195	11324
17	204	11131
18	211	10908
19	217	10676
20	221	10329
21	231	10311
22	241	10243
23	250	10168
24	259	10117
25	270	10118
26	278	10047
27	283	9838
28	293	9825
29	302	9782
30	310	9709
31	320	9685
32	329	9665
33	338	9630
34	342	9447
35	350	9384
36	357	9310
37	366	9274
38	375	9241
39	383	9214
40	392	9174
41	399	9110
42	408	9087
43	415	9021
44	422	8962
45	431	8949
46	440	8940
47	451	8955
48	460	8942
49	466	8855
50	474	8823
51	482	8787
52	490	8766
53	499	8750
54	507	8720
55	516	8701
56	525	8687
57	533	8666
58	542	8644
59	551	8643
60	560	8629
61	568	8596
62	577	8591
63	586	8583
64	595	8566
65	604	8558
66	614	8553
67	623	8545
68	632	8531
69	641	8518
70	649	8496
71	661	8523
72	672	8543
73	683	8550
74	694	8561
75	699	8498
76	717	8598
77	741	8763
78	753	8783
79	763	8776
80	770	8745
81	780	8740
82	791	8749
83	800	8734
84	811	8732
85	818	8702
86	829	8701
87	839	8700
88	849	8691
89	859	8693
90	870	8693
91	880	8686
92	891	8692
93	898	8662
94	911	8685
95	922	8689
96	932	8679
97	937	8627
98	943	8590
99	954	8593
100	962	8569
101	973	8567
102	982	8559
103	986	8499
104	991	8452
105	997	8410
106	1006	8401
107	1017	8404
108	1022	8355
109	1029	8332
110	1038	8319
111	1050	8325
112	1055	8284
113	1065	8283
114	1075	8276
115	1088	8292
116	1096	8273
117	1099	8215
118	1106	8195
119	1116	8186
120	1123	8159
121	1127	8112
122	1136	8104
123	1145	8092
124	1152	8069
125	1161	8056
126	1171	8052
127	1180	8043
128	1189	8030
129	1193	7987
130	1201	7971
131	1210	7957
132	1215	7925
133	1220	7889
134	1229	7877
135	1239	7871
136	1241	7822
137	1244	7774
138	1254	7768
139	1263	7762
140	1272	7750
141	1280	7738
142	1285	7703
143	1294	7692
144	1303	7688
145	1312	7679
146	1323	7682
147	1332	7669
148	1341	7659
149	1343	7615
150	1352	7603
151	1360	7589
152	1368	7578
153	1378	7572
154	1387	7562
155	1396	7553
156	1403	7535
157	1412	7525
158	1416	7490
159	1420	7457
160	1431	7457
161	1441	7457
162	1451	7455
163	1461	7447
164	1471	7444
165	1479	7435
166	1489	7429
167	1498	7420
168	1505	7404
169	1510	7373
170	1519	7368
171	1528	7355
172	1536	7344
173	1545	7339
174	1557	7341
175	1564	7324
176	1568	7295
177	1578	7290
178	1589	7290
179	1600	7292
180	1611	7292
181	1619	7277
182	1629	7272
183	1633	7242
184	1642	7234
185	1651	7226
186	1660	7217
187	1668	7206
188	1676	7194
189	1686	7188
190	1695	7179
191	1703	7170
192	1712	7159
193	1721	7152
194	1730	7144
195	1740	7139
196	1748	7125
197	1757	7117
198	1765	7104
199	1772	7089
200	1780	7077
201	1789	7068
202	1798	7060
203	1806	7049
204	1815	7040
205	1823	7028
206	1832	7018
207	1840	7007
208	1849	6999
209	1858	6993
210	1868	6985
211	1876	6975
212	1885	6967
213	1894	6956
214	1903	6950
215	1912	6943
216	1920	6929
217	1929	6919
218	1937	6911
219	1947	6904
220	1953	6887
221	1962	6878
222	1971	6867
223	1980	6860
224	1987	6846
225	1998	6843
226	2007	6837
227	2016	6828
228	2025	6819
229	2036	6818
230	2046	6811
231	2057	6809
232	2068	6809
233	2080	6809
234	2089	6802
235	2098	6793
236	2107	6785
237	2116	6776
238	2127	6775
239	2138	6771
240	2146	6761
241	2155	6751
242	2163	6740
243	2173	6733
244	2181	6723
245	2190	6715
246	2200	6708
247	2208	6696
248	2217	6687
249	2225	6675
250	2235	6669
251	2243	6660
252	2253	6654
253	2262	6643
254	2272	6640
255	2279	6624
256	2286	6611
257	2296	6603
258	2305	6597
259	2316	6592
260	2322	6575
261	2331	6566
262	2340	6558
263	2349	6550
264	2358	6542
265	2368	6535
266	2377	6527
267	2387	6520
268	2396	6513
269	2406	6506
270	2414	6493
