iter	Passed	Remaining
0	68	67955
1	77	38781
2	84	28102
3	92	22921
4	99	19744
5	106	17607
6	112	16021
7	121	15039
8	128	14137
9	134	13328
10	141	12725
11	147	12182
12	154	11767
13	162	11462
14	170	11179
15	177	10945
16	185	10748
17	193	10576
18	201	10416
19	208	10216
20	212	9907
21	225	10045
22	236	10051
23	245	9967
24	254	9920
25	263	9872
26	272	9813
27	276	9615
28	286	9596
29	295	9547
30	303	9494
31	312	9450
32	321	9423
33	330	9393
34	335	9244
35	343	9186
36	350	9122
37	358	9086
38	367	9051
39	376	9024
40	383	8973
41	390	8914
42	399	8893
43	407	8844
44	414	8793
45	424	8795
46	433	8781
47	443	8788
48	451	8767
49	457	8684
50	465	8665
51	473	8633
52	482	8616
53	491	8603
54	499	8580
55	507	8563
56	516	8546
57	524	8524
58	533	8509
59	541	8487
60	550	8481
61	558	8450
62	568	8449
63	576	8436
64	585	8417
65	594	8408
66	603	8410
67	612	8400
68	621	8381
69	629	8358
70	635	8316
71	645	8319
72	655	8319
73	663	8299
74	672	8288
75	676	8226
76	686	8225
77	694	8214
78	703	8197
79	711	8177
80	717	8141
81	725	8120
82	733	8098
83	741	8082
84	749	8072
85	756	8044
86	765	8035
87	773	8018
88	783	8020
89	791	8000
90	799	7983
91	807	7971
92	816	7959
93	823	7934
94	832	7930
95	841	7920
96	850	7913
97	854	7862
98	860	7833
99	870	7836
100	878	7818
101	886	7804
102	895	7796
103	898	7736
104	902	7689
105	907	7654
106	914	7634
107	923	7627
108	927	7582
109	935	7566
110	942	7549
111	950	7537
112	955	7499
113	963	7488
114	972	7482
115	981	7480
116	989	7465
117	991	7414
118	999	7403
119	1008	7397
120	1016	7383
121	1020	7340
122	1029	7338
123	1037	7329
124	1045	7315
125	1053	7307
126	1063	7308
127	1072	7305
128	1081	7299
129	1085	7266
130	1093	7255
131	1101	7245
132	1107	7219
133	1111	7184
134	1119	7175
135	1129	7176
136	1132	7134
137	1135	7091
138	1144	7090
139	1152	7081
140	1161	7075
141	1169	7068
142	1175	7042
143	1183	7034
144	1192	7032
145	1200	7023
146	1209	7017
147	1218	7012
148	1227	7011
149	1230	6972
150	1239	6966
151	1247	6957
152	1255	6950
153	1264	6948
154	1273	6942
155	1282	6939
156	1289	6923
157	1298	6918
158	1302	6887
159	1305	6856
160	1315	6856
161	1324	6854
162	1335	6855
163	1343	6848
164	1351	6841
165	1360	6834
166	1369	6830
167	1377	6822
168	1384	6809
169	1388	6778
170	1396	6768
171	1403	6756
172	1411	6747
173	1419	6737
174	1429	6737
175	1435	6722
176	1440	6696
177	1449	6692
178	1457	6686
179	1466	6682
180	1476	6678
181	1483	6668
182	1492	6665
183	1496	6638
184	1505	6633
185	1514	6628
186	1523	6622
187	1531	6615
188	1540	6611
189	1550	6607
190	1558	6603
191	1567	6597
192	1577	6594
193	1586	6590
194	1595	6585
195	1604	6582
196	1612	6571
197	1621	6566
198	1629	6557
199	1636	6545
200	1645	6541
201	1654	6536
202	1663	6530
203	1671	6523
204	1680	6516
205	1688	6507
206	1697	6502
207	1705	6492
208	1714	6489
209	1724	6486
210	1733	6480
211	1742	6477
212	1751	6471
213	1759	6464
214	1768	6457
215	1777	6452
216	1785	6440
217	1794	6436
218	1802	6429
219	1811	6423
220	1818	6408
221	1826	6401
222	1834	6393
223	1844	6389
224	1851	6378
225	1861	6373
226	1870	6368
227	1878	6360
228	1887	6354
229	1896	6349
230	1906	6346
231	1915	6340
232	1924	6334
233	1933	6327
234	1942	6324
235	1952	6322
236	1962	6316
237	1970	6310
238	1979	6304
239	1988	6298
240	1996	6289
241	2006	6284
242	2015	6277
243	2024	6271
244	2032	6264
245	2041	6257
246	2050	6251
247	2058	6241
248	2067	6234
249	2073	6221
250	2082	6215
251	2092	6210
252	2101	6203
253	2109	6195
254	2118	6190
255	2125	6177
256	2132	6166
257	2141	6158
258	2150	6153
259	2159	6146
260	2166	6133
261	2174	6124
262	2183	6119
263	2193	6114
264	2202	6107
265	2211	6103
266	2220	6095
267	2228	6087
268	2238	6082
269	2247	6076
270	2254	6064
271	2263	6058
272	2272	6052
273	2282	6046
274	2291	6041
275	2300	6034
276	2309	6028
277	2319	6024
278	2328	6016
279	2338	6012
280	2346	6003
281	2355	5997
282	2363	5988
283	2372	5981
284	2382	5976
285	2391	5970
286	2400	5963
287	2409	5957
288	2417	5947
289	2425	5939
290	2434	5932
291	2444	5926
292	2453	5920
293	2463	5914
294	2472	5908
295	2479	5897
296	2488	5889
297	2496	5881
298	2503	5870
299	2512	5862
300	2521	5855
301	2530	5847
302	2538	5840
303	2549	5837
304	2558	5830
305	2567	5823
306	2577	5817
307	2585	5809
308	2591	5795
309	2602	5792
310	2610	5784
311	2619	5776
312	2627	5767
313	2635	5758
